"","sample","deseq2","total","diff"
"1","c0.25-m0_r1",0.99,0.974,0.0159
"2","c0.25-m0_r2",0.611,0.604,0.00729
"3","c0.25-m0_r3",0.821,0.813,0.00874
"4","c0.25-m1_r1",0.807,0.807,0.000403
"5","c0.25-m1_r2",1.49,1.5,-0.0112
"6","c0.25-m1_r3",0.984,0.983,9e-04
"7","c0.75-m0_r1",0.655,0.659,-0.00438
"8","c0.75-m0_r2",1.42,1.43,-0.00527
"9","c0-m1_r1",0.993,0.975,0.018
"10","c0-m1_r2",1.47,1.45,0.0227
"11","c0-m1_r3",0.526,0.517,0.00962
"12","t0_r1",1.14,1.13,0.00664
"13","ut_r1",1.39,1.37,0.0246
"14","ut_r2",1.29,1.28,0.0187
"15","ut_r3",1.32,1.3,0.0237
