variable,count_type,value
KRAS_status,mult_count,10
BRAF_status,mult_count,6
TP53_status,mult_count,13
MSI_MSS,mult_count,6
CTNNB1,mult_count,5
HDAC3,mult_count,1
HDAC2,mult_count,2
ATM,mult_count,2
ERBB3,mult_count,6
SMAD4,mult_count,4
ERCC1,mult_count,1
TIAM1,mult_count,1
DPYD,mult_count,2
ERBB4,mult_count,4
TGFBR2,mult_count,4
PIK3CA,mult_count,11
APC,mult_count,14
CSMD3,mult_count,3
ACVR1B,mult_count,3
CDH11,mult_count,2
AMER1,mult_count,3
TENM1,mult_count,2
NRAS,mult_count,1
MLH1,mult_count,1
(HDAC3,mult_count,5
POLE,mult_count,1
ARID1A,mult_count,2
SOX11,mult_count,1
KDR,mult_count,1
STK11,mult_count,1
FBXW7,mult_count,1
EGFR,mult_count,1
DAPK1,mult_count,3
AMER,mult_count,1
GRIA,mult_count,1
GLI3,mult_count,1
WNK3,mult_count,1
EPHA3,mult_count,1
NOTCH3,mult_count,1
KRAS_status,single_count,10
BRAF_status,single_count,6
TP53_status,single_count,13
MSI_MSS,single_count,6
CTNNB1,single_count,5
HDAC3,single_count,1
HDAC2,single_count,1
ATM,single_count,2
ERBB3,single_count,4
SMAD4,single_count,4
ERCC1,single_count,1
TIAM1,single_count,1
DPYD,single_count,2
ERBB4,single_count,4
TGFBR2,single_count,4
PIK3CA,single_count,9
APC,single_count,7
CSMD3,single_count,3
ACVR1B,single_count,3
CDH11,single_count,2
AMER1,single_count,3
TENM1,single_count,2
NRAS,single_count,1
MLH1,single_count,1
(HDAC3,single_count,5
POLE,single_count,1
ARID1A,single_count,1
SOX11,single_count,1
KDR,single_count,1
STK11,single_count,1
FBXW7,single_count,1
EGFR,single_count,1
DAPK1,single_count,1
AMER,single_count,1
GRIA,single_count,1
GLI3,single_count,1
WNK3,single_count,1
EPHA3,single_count,1
NOTCH3,single_count,1
